Provinsi,Jokowi-Ma'ruf,Prabowo-Sandi
Aceh,402474,2387904
Sumatera Utara,3921733,3578597
Sumatera Barat,407638,2485265
Riau,1246888,1973298
Jambi,858738,1200255
Sumatera Selatan,1916832,2832745
Bengkulu,582845,585598
Lampung,2845798,1951645
Kepulauan Bangka Belitung,495500,288097
Kepulauan Riau,548388,462666
DKI Jakarta,3269971,3057851
Jawa Barat,10729229,16044787
Jawa Tengah,16784716,4939445
Daerah Istimewa Yogyakarta,1640789,735789
Jawa Timur,16189282,8419928
Banten,2530608,4045338
Bali,2342628,212586
Nusa Tenggara Barat,950480,2009305
Nusa Tenggara Timur,2362041,305615
Kalimantan Barat,1707147,1260600
Kalimantan Tengah,828596,536213
Kalimantan Selatan,823219,1467906
Kalimantan Timur,1093148,870043
Sulawesi Utara,1218303,359131
Sulawesi Tengah,913753,705310
Sulawesi Selatan,2117839,2807109
Sulawesi Tenggara,554247,840029
Gorontalo,369338,344798
Sulawesi Barat,474852,263345
Maluku,591661,394493
Maluku Utara,310585,344366
Papua,2363009,211032
Papua Barat,437630,108924
Kalimantan Utara,247352,105498
